FECHA;PROV;CELDA;NOMBRE;INTERF_MEDIA
2017-08-27;SX;SX13ZJ1;AT_S_WLL_SANTANDER;-97.93
2017-08-27;SX;SX13ZJ2;AT_S_WLL_SANTANDER;-99.0
2017-08-27;SX;SX83CJ2;OR_S_SOLARES_CENTRO;-101.91
2017-08-27;NA;NA58BJ2;AM_NA_SARTAGUDA;-104.05
2017-08-27;LO;LO01GJ2;AT_LO_ALDAEBRO;-104.53
2017-08-27;LO;LO26RJ3;AT_LO_HOTEL_PORTALES;-105.96
2017-08-27;SX;SX23CM2;AT_S_ARCE;-106.05
2017-08-27;SX;SX20EK2;AT_S_CASTRO2;-107.29
2017-08-27;NA;NA48CJ2;AT_NA_CAPARROSO;-107.6
2017-08-27;SX;SX51ZK2;AT_S_CASTELAR45;-108.23
2017-08-27;LO;LO01GM1;AT_LO_ALDAEBRO;-108.3
2017-08-27;SX;SX83CJ3;OR_S_SOLARES_CENTRO;-108.31
2017-08-27;NA;NA61CJ2;OR_NA_SAN_ADRIAN_ORA;-108.51
2017-08-27;NA;NA61CJ1;OR_NA_SAN_ADRIAN_ORA;-108.52
2017-08-27;SX;SX55ZJ2;AT_S_PDP_ONO_CANDINA;-108.79
2017-08-27;SX;SX20EK1;AT_S_CASTRO2;-108.93
2017-08-27;NA;NA58BJ3;AM_NA_SARTAGUDA;-109.1
2017-08-27;LO;LO02RJ1;AT_LO_MURRIETA;-109.64
