FECHA;PROV;CELDA;NOMBRE;USO MIMO
2017-08-27;SX;SX62ZK3;AT_S_MONTE;0.0
2017-08-27;NA;NA01FK2;AT_NA_SADAR_PALCO;0.0
2017-08-27;SX;SX77LK2;AT_S_MOGRO;0.0
2017-08-27;SX;SX66AK2;TM_S_BULEVAR_ALTAMIR;0.0
2017-08-27;NA;NA35FK2;AT_NA_AUTOBUSES;0.58
2017-08-27;NA;NA02FK1;AT_NA_SADAR_GRADAS;0.79
2017-08-27;NA;NA57BM1;AT_NA_ARTAJONA;0.88
2017-08-27;NA;NA01FK3;AT_NA_SADAR_PALCO;0.93
2017-08-27;NA;NA64FK1;AT_NA_HOSPITALES;1.04
2017-08-27;NA;NA12GK1;AT_NA_PANASA;1.39
2017-08-27;NA;NA01FK1;AT_NA_SADAR_PALCO;1.41
2017-08-27;NA;NA40EJ2;AT_NA_VENTA_JUDAS;1.64
2017-08-27;NA;NA02FK3;AT_NA_SADAR_GRADAS;2.1
2017-08-27;NA;NA64FK2;AT_NA_HOSPITALES;2.11
2017-08-27;NA;NA10CJ2;AT_NA_PLANASA;2.34
2017-08-27;NA;NA02FK2;AT_NA_SADAR_GRADAS;2.75
2017-08-27;NA;NA35FK1;AT_NA_AUTOBUSES;3.48
2017-08-27;NA;NA57FK2;TM_NA_HOTEL_ALMA;3.65
2017-08-27;NA;NA02CM1;AT_NA_PEPSI_TAFALLA;4.75
2017-08-27;SX;SX76LK1;AT_S_CAMARGO;9.95
2017-08-27;PX;PX01VJ1;AT_P_MONZON DE CAMPO;10.79
2017-08-27;NA;NA04CJ1;AT_NA_FIGAROL;11.1
2017-08-27;NA;NA14GJ3;AT_NA_GASTI_MUTILVA;11.36
2017-08-27;NA;NA45CM1;AM_NA_ABLITAS;13.79
2017-08-27;NA;NA46FJ3;AT_NA_VILLAVA;13.82
2017-08-27;SX;SX38AJ3;AT_S_RIOSAJA;14.08
2017-08-27;SX;SX37AJ3;AT_S_TANOS;14.54
2017-08-27;NA;NA63BJ1;AT_NA_ELPUNTIDO;14.69
2017-08-27;NA;NA36GJ3;AT_NA_ZIZUR;15.27
2017-08-27;NA;NA48AM1;AT_NA_LESAKA;18.25
2017-08-27;SO;SO47EJ1;AT_SO_AVE-MB_OP47;19.24
